Common name,Scientific name,Status,No.,No. Back
Common Ostrich,Struthio camelus,,6,0
Somali Ostrich,Struthio molybdophanes,,1,0
Greater Rhea,Rhea americana,,23,1
Lesser Rhea,Rhea pennata,,4,0
Southern Brown Kiwi,Apteryx australis,,3,0
North Island Brown Kiwi,Apteryx mantelli,,21,0
Okarito Kiwi,Apteryx rowi,,5,0
Little Spotted Kiwi,Apteryx owenii,,6,0
Great Spotted Kiwi,Apteryx haastii,,7,0
Southern Cassowary,Casuarius casuarius,,20,0
Dwarf Cassowary,Casuarius bennetti,,2,0
Northern Cassowary,Casuarius unappendiculatus,,6,1
Emu,Dromaius novaehollandiae,,17,1
Grey Tinamou,Tinamus tao,,61,84
Solitary Tinamou,Tinamus solitarius,,71,47
Black Tinamou,Tinamus osgoodi,,20,1
Great Tinamou,Tinamus major,,122,266
White-throated Tinamou,Tinamus guttatus,,49,368
Highland Tinamou,Nothocercus bonapartei,,48,19
Tawny-breasted Tinamou,Nothocercus julius,,56,9
Hooded Tinamou,Nothocercus nigrocapillus,,16,7
Berlepsch's Tinamou,Crypturellus berlepschi,,13,0
Cinereous Tinamou,Crypturellus cinereus,,258,340
Little Tinamou,Crypturellus soui,,364,464
Tepui Tinamou,Crypturellus ptaritepui,,2,0
Brown Tinamou,Crypturellus obsoletus,,196,181
Undulated Tinamou,Crypturellus undulatus,,198,979
Pale-browed Tinamou,Crypturellus transfasciatus,,37,145
Brazilian Tinamou,Crypturellus strigulosus,,73,159
Grey-legged Tinamou,Crypturellus duidae,,12,5
Red-legged Tinamou,Crypturellus erythropus,,33,12
Yellow-legged Tinamou,Crypturellus noctivagus,,51,75
Black-capped Tinamou,Crypturellus atrocapillus,,31,52
Thicket Tinamou,Crypturellus cinnamomeus,,53,44
Slaty-breasted Tinamou,Crypturellus boucardi,,33,27
Choco Tinamou,Crypturellus kerriae,,7,0
Variegated Tinamou,Crypturellus variegatus,,71,98
Rusty Tinamou,Crypturellus brevirostris,,13,0
Bartlett's Tinamou,Crypturellus bartletti,,41,83
Small-billed Tinamou,Crypturellus parvirostris,,98,70
Barred Tinamou,Crypturellus casiquiare,,3,0
Tataupa Tinamou,Crypturellus tataupa,,120,109
Red-winged Tinamou,Rhynchotus rufescens,,86,185
Huayco Tinamou,Rhynchotus maculicollis,,14,10
Taczanowski's Tinamou,Nothoprocta taczanowskii,,7,1
Ornate Tinamou,Nothoprocta ornata,,13,0
